,prices,simple_returns,log_returns
2016-12-20 01:00:00.000,799.7212999999999,0.012156438235738642,0.012083142155412292
2016-12-21 01:00:00.000,826.6207679031857,0.03363605283888993,0.033082734280457174
2016-12-22 01:00:00.000,859.3662999999999,0.03961373022344561,0.03884923091561117
2016-12-23 01:00:00.000,917.0988,0.06718031647273115,0.06501995192435583
2016-12-24 01:00:00.000,891.6813,-0.027715116408395746,-0.02810642734939601
2016-12-25 01:00:00.000,894.3371331688621,0.002978455608368291,0.0029740287973246313
2016-12-26 01:00:00.000,902.6063,0.009246140548629711,0.009203656664958496
2016-12-27 01:00:00.000,929.1150000000001,0.029369061572027677,0.02894605296849104
2016-12-28 01:00:00.000,977.1399999999999,0.05168897283974516,0.05039741740733758
2016-12-29 01:00:00.000,971.7212999999998,-0.00554546943119727,-0.005560902629468156
2016-12-30 01:00:00.000,960.9250000000001,-0.011110490219777724,-0.011172672730681834
2016-12-31 01:00:00.000,966.5689708732557,0.005873476986503201,0.005856295364960344
2017-01-01 01:00:00.000,998.05,0.032569873516943515,0.03205071767168147
2017-01-02 01:00:00.000,1019.1988000000001,0.02119012073543436,0.020968732166279837
2017-01-03 01:00:00.000,1035.5313,0.01602484225844858,0.0158977998991484
2017-01-04 01:00:00.000,1130.8495163207272,0.09204764387201725,0.08805450629038576
2017-01-05 01:00:00.000,990.6674999999997,-0.12396168924121431,-0.13234545525913183
2017-01-06 01:00:00.000,894.0325,-0.09754534190331232,-0.10263683037326916
2017-01-07 01:00:00.000,900.0787999999999,0.0067629532483437504,0.006740187066797866
2017-01-08 01:00:00.000,908.0850000000004,0.008894998971201717,0.008855671507632027
2017-01-09 01:00:00.000,901.8788880390637,-0.006834285293707887,-0.0068577459738667365
2017-01-10 01:00:00.000,905.7594626984339,0.004302766935600166,0.004293536502079701
2017-01-11 01:00:00.000,784.2775000000003,-0.13412166000067527,-0.1440108652778747
2017-01-12 01:00:00.000,799.4275,0.019317142210505622,0.019132934681057246
2017-01-13 01:00:00.000,824.4988000000003,0.03136156812218771,0.030879840084933257
2017-01-14 01:00:00.000,817.8250000000003,-0.008094371999086025,-0.008127309286295951
2017-01-15 01:00:00.000,821.9124999999998,0.00499801302234526,0.004985564416890853
2017-01-16 01:00:00.000,828.3099999999998,0.007783675269569468,0.007753538750122643
2017-01-17 01:00:00.000,904.1525000000003,0.091562941410825,0.08761056040331247
2017-01-18 01:00:00.000,873.9349999999996,-0.033420800141569784,-0.03399203867457854
2017-01-19 01:00:00.000,896.89,0.026266255499551416,0.025927221366290547
2017-01-20 01:00:00.000,891.4588,-0.006055592101595453,-0.006074001557174392
2017-01-21 01:00:00.000,919.6775000000004,0.031654519535844416,0.03116384312046783
2017-01-22 01:00:00.000,918.7788120146554,-0.0009771773098123937,-0.0009776550588154807
2017-01-23 01:00:00.000,918.9075000000001,0.00014006416306289182,0.0001400543549938332
2017-01-24 01:00:00.000,885.7887999999999,-0.036041386102518724,-0.036706916934797676
2017-01-25 01:00:00.000,893.4737999999999,0.008675883009584107,0.008638463810558241
2017-01-26 01:00:00.000,915.3599999999999,0.024495625948964594,0.024200419238181153
2017-01-27 01:00:00.000,918.2875,0.0031981952455866214,0.0031930918972800076
2017-01-28 01:00:00.000,920.245,0.002131685338197409,0.002129416520704745
2017-01-29 01:00:00.000,914.1424999999998,-0.006631386206934264,-0.006653471540177546
2017-01-30 01:00:00.000,920.9911458822621,0.007491879966484705,0.007463955219606674
2017-01-31 01:00:00.000,968.2662999999999,0.05133073681446798,0.0500567301307537
